post_uri,post_cid,type,date,news_id,like_count,repost_count,user_name,follower_count,follows_count,retweet_date
at://did:plc:oxfdytaxtx43n32ggtb7sizs/app.bsky.feed.post/3lbg5zpuyr22d,bafyreih23zxn7f3jl43d5u4tnow7rclr55zlsdccgo5nt4wafg2eirl5xa,post,2024-11-21 00:03:34.917000+00:00,politifact10408,1,0,mjqqq.bsky.social,45,58,
at://did:plc:bxcuhouxrru5zbh4fqv2cl7u/app.bsky.feed.post/3lbflq2lkt22z,bafyreia6unvukvifhdcjee7whtp3gnfe7rwrqzfa27ymhyktdo5ap6jjfi,post,2024-11-20 18:36:03.252000+00:00,politifact10408,1,0,oldguyrant.bsky.social,150,214,
at://did:plc:kfssuxckyyqzf7u7drufejdf/app.bsky.feed.post/3lb6lee2ezc23,bafyreiach3mzvsggpnkgj5rvbqeibmfg6qugxqauo3azg6hjjdn6pp5ri4,post,2024-11-17 23:40:52.354000+00:00,politifact10408,0,0,alter-idem.bsky.social,75,29,
at://did:plc:3xaf4o2drwrbjzt3sxtuwtqf/app.bsky.feed.post/3kz7jpxnrxs2e,bafyreig2mnjhq7efgv3mn7inkxfjjv7xpsgbhvr7ixmd6xb5lfxalxce2i,post,2024-08-08 13:22:41.180000+00:00,politifact10408,12,3,breakify.bsky.social,2549,771,
at://did:plc:bi3uvyrwkypu7bsheodyav3f/app.bsky.feed.post/3l3ccmh56vb2s,bafyreiavxy5y47lxd66y2un3ni7f2anpx34r4jm3jetcnxgt43o7sc4ip4,post,2024-09-03 17:08:08+00:00,politifact542,0,0,timesofupdates.bsky.social,58,8,
at://did:plc:2poe7eq5rh6uuwe4u3vf26ct/app.bsky.feed.post/3leaimu2tfs2q,bafyreicp55xlgimf6fgh76lijplxacos4sz4ztch7s64f36o5ajcbhzhw4,post,2024-12-26 22:12:50.714000+00:00,politifact129,1,0,davidbeecher.bsky.social,26,44,
at://did:plc:f7ntzrrgzxet6r67ui4skthl/app.bsky.feed.post/3le6yff255s2l,bafyreihpikbnmumiu75i2ywiriv3sssnqdvqjolb4ecmyzvovfleh2isha,post,2024-12-26 07:49:40.475000+00:00,politifact129,12,3,chuerta1.bsky.social,693,533,
at://did:plc:m7ry43euhmzujwgc6e3nigcl/app.bsky.feed.post/3le6qcwjz2s2p,bafyreibwyihi5c4c4x27xtdbs7narcdb7q37zpdgxiokvhqbb64p7jt5hu,post,2024-12-26 05:25:08.223000+00:00,politifact129,0,0,anonbeing.bsky.social,340,501,
at://did:plc:dqjiwn76y2dkk4qa7ko36zzc/app.bsky.feed.post/3le335xn3os2w,bafyreihirpk76y62vpj3svebmmlp7maifjpre4hsrx4ipjn7vxdudgzjju,post,2024-12-24 18:28:33.765000+00:00,politifact129,0,0,thescout173.bsky.social,115,146,
at://did:plc:a7t54ysbij4ag2y6modfpu77/app.bsky.feed.post/3ldyolytmis2o,bafyreiece4tzpyyyg7golnq4nda7tgsqgnelp3kfbhzzjfglw264urtrk4,post,2024-12-23 19:38:26.695000+00:00,politifact129,10,2,justelexmaps.bsky.social,220,107,
